listing_id,url,title,host_id,location_city,location_province,rv_type,rv_year,rv_make,rv_model,length_ft,sleeps,num_slide_outs,weight_lbs,hitch_size,hitch_weight_lbs,base_price,security_deposit,pet_friendly,delivery_available,delivery_max_km,delivery_price_per_km,overall_rating,num_reviews,accuracy_rating,value_rating,cleanliness_rating,communication_rating,flexible_pickup,flexible_dropoff,towing_experience_required,host_name,response_rate,is_superhost
184,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_gulf-steam_18-rbd,LITTE MISS RIGGY LIGHT 3288 lbs dry Family Trailer with Twin Bunks!,184.0,Calgary,AB,Travel Trailer,,,,,521,,3288.0,"2""",370.0,,1.0,1,1,150.0,2.5,4.9,12.0,4.8,4.8,5.0,5.0,1,1,0,BECKY,100.0,0.0
185,https://www.rvezy.com/rv-rental/alberta_calgary_motorhome_classb_roadtrek_sprinter-adventurous-rs_5d9724,Rent my 2010 Roadtrek Sprinter Adventurous RS from $300/night | RVezy,185.0,Calgary,AB,Class B,2010.0,Roadtrek,Sprinter Adventurous RS,22.0,222,,,,,300.0,1.0,0,0,,,,,,,,,0,0,0,Mary,60.0,0.0
186,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_gulf-stream_conquest_c755e9,Rent my 2015 Gulf Stream Conquest from $150/night | RVezy,186.0,Calgary,AB,Travel Trailer,2015.0,Gulf,Stream Conquest,29.0,829,,5160.0,"2 5/16""",690.0,150.0,1.0,1,1,200.0,2.5,4.6,11.0,4.5,4.5,4.6,4.6,1,1,1,David,90.0,0.0
187,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_boler_1300_16fdb8,Rent my 1975 Boler 1300 from $161/night | RVezy,187.0,Calgary,AB,Travel Trailer,1975.0,Boler,1300,13.0,413,,900.0,"2""",220.0,161.0,500.0,1,1,200.0,3.0,4.3,3.0,4.3,4.3,4.3,4.3,1,1,0,Jerad,100.0,0.0
188,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_boler_1300,Rent my 1975 Boler 1300 from $161/night | RVezy,187.0,Calgary,AB,Travel Trailer,1975.0,Boler,1300,13.0,413,,900.0,"2""",265.0,161.0,500.0,1,1,200.0,3.0,4.9,5.0,4.8,4.6,5.0,5.0,1,1,0,Jerad,100.0,0.0
189,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_triple-e_surfside_718dcb,Rent my 1977 Triple E Surfside from $161/night | RVezy,187.0,Calgary,AB,Travel Trailer,1977.0,Triple,E Surfside,14.0,414,,1600.0,"2""",280.0,161.0,500.0,1,1,200.0,4.0,,,,,,,1,1,0,Jerad,100.0,0.0
190,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_coachmen_apex-nano-193bhs_af0ae9,Rent my 2016 Coachmen Apex Nano 193BHS from $138/night | RVezy,190.0,Calgary,AB,Travel Trailer,2016.0,Coachmen,Apex Nano 193BHS,19.0,419,1.0,4600.0,"2""",406.0,138.0,1.0,0,1,100.0,1.0,5.0,7.0,5.0,5.0,5.0,5.0,1,1,0,Ryan,93.0,0.0
191,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_keystone_hideout_6f006c,Rent my 2017 Keystone Hideout from $138/night | RVezy,191.0,Calgary,AB,Travel Trailer,2017.0,Keystone,Hideout,21.0,621,,3375.0,"2""",500.0,138.0,1.0,0,0,,,,,,,,,0,0,1,ManZ,50.0,0.0
192,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_keystone_cougar-21rbs,Family Friendly & Lightweight Keystone Cougar 21RBS Travel Trailer,192.0,Calgary,AB,Travel Trailer,,,,26.0,426,1.0,5300.0,"2 5/16""",580.0,,1.0,0,1,300.0,3.0,4.6,6.0,4.5,4.5,4.5,5.0,1,1,0,Kelly,53.0,0.0
195,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_airstream_overlander_6c20bf,Rent my 2022 Airstream Overlander from $250/night | RVezy,,Calgary,AB,Travel Trailer,2022.0,Airstream,Overlander,27.0,527,,6000.0,"2""",590.0,250.0,500.0,0,0,,,,,,,,,0,0,0,,,
